file_index,selected_file_path,returncode,parse_success,join_success,summary_rows,stdout_excerpt,stderr_excerpt
66,DartmouthCollege\JoBe\DartmouthCollege-JoBe-Neg-Owen-L-Coon-Memorial-Debates-at-Northwestern-Round-2.docx,0,True,True,1,Parse complete. | Doc: DartmouthCollege-JoBe-Neg-Owen-L-Coon-Memorial-Debates-at-Northwestern-Round-2.docx | Positions detected: 2 | Cards detected: 5 | Cards with highlighted/underlined read proxy: 5 | ,
67,DartmouthCollege\JoBe\DartmouthCollege-JoBe-Neg-Owen-L-Coon-Memorial-Debates-at-Northwestern-Round-3.docx,0,True,True,1,Parse complete. | Doc: DartmouthCollege-JoBe-Neg-Owen-L-Coon-Memorial-Debates-at-Northwestern-Round-3.docx | Positions detected: 1 | Cards detected: 0 | Cards with highlighted/underlined read proxy: 0 | ,
68,DartmouthCollege\JoBe\DartmouthCollege-JoBe-Neg-Owen-L-Coon-Memorial-Debates-at-Northwestern-Round-5.docx,0,True,True,1,Parse complete. | Doc: DartmouthCollege-JoBe-Neg-Owen-L-Coon-Memorial-Debates-at-Northwestern-Round-5.docx | Positions detected: 1 | Cards detected: 1 | Cards with highlighted/underlined read proxy: 1 | ,
69,DartmouthCollege\JoBe\DartmouthCollege-JoBe-Neg-Owen-L-Coon-Memorial-Debates-at-Northwestern-Round-8.docx,0,True,True,1,Parse complete. | Doc: DartmouthCollege-JoBe-Neg-Owen-L-Coon-Memorial-Debates-at-Northwestern-Round-8.docx | Positions detected: 1 | Cards detected: 0 | Cards with highlighted/underlined read proxy: 0 | ,
70,DartmouthCollege\KaRa\DartmouthCollege-KaRa-Aff-Owen-L-Coon-Memorial-Debates-at-Northwestern-Round-1.docx,0,True,True,1,Parse complete. | Doc: DartmouthCollege-KaRa-Aff-Owen-L-Coon-Memorial-Debates-at-Northwestern-Round-1.docx | Positions detected: 3 | Cards detected: 5 | Cards with highlighted/underlined read proxy: 5 | ,
71,DartmouthCollege\KaRa\DartmouthCollege-KaRa-Aff-Owen-L-Coon-Memorial-Debates-at-Northwestern-Round-4.docx,0,True,True,1,Parse complete. | Doc: DartmouthCollege-KaRa-Aff-Owen-L-Coon-Memorial-Debates-at-Northwestern-Round-4.docx | Positions detected: 3 | Cards detected: 7 | Cards with highlighted/underlined read proxy: 7 | ,
72,DartmouthCollege\KaRa\DartmouthCollege-KaRa-Aff-Owen-L-Coon-Memorial-Debates-at-Northwestern-Round-5.docx,0,True,True,1,Parse complete. | Doc: DartmouthCollege-KaRa-Aff-Owen-L-Coon-Memorial-Debates-at-Northwestern-Round-5.docx | Positions detected: 4 | Cards detected: 4 | Cards with highlighted/underlined read proxy: 4 | ,
73,DartmouthCollege\KaRa\DartmouthCollege-KaRa-Aff-Owen-L-Coon-Memorial-Debates-at-Northwestern-Round-7.docx,0,True,True,1,Parse complete. | Doc: DartmouthCollege-KaRa-Aff-Owen-L-Coon-Memorial-Debates-at-Northwestern-Round-7.docx | Positions detected: 6 | Cards detected: 7 | Cards with highlighted/underlined read proxy: 7 | ,
74,DartmouthCollege\KaRa\DartmouthCollege-KaRa-Neg-Owen-L-Coon-Memorial-Debates-at-Northwestern-Round-2.docx,0,True,True,1,Parse complete. | Doc: DartmouthCollege-KaRa-Neg-Owen-L-Coon-Memorial-Debates-at-Northwestern-Round-2.docx | Positions detected: 3 | Cards detected: 0 | Cards with highlighted/underlined read proxy: 0 | ,
75,DartmouthCollege\KaRa\DartmouthCollege-KaRa-Neg-Owen-L-Coon-Memorial-Debates-at-Northwestern-Round-3.docx,0,True,True,1,Parse complete. | Doc: DartmouthCollege-KaRa-Neg-Owen-L-Coon-Memorial-Debates-at-Northwestern-Round-3.docx | Positions detected: 5 | Cards detected: 7 | Cards with highlighted/underlined read proxy: 7 | ,
76,DartmouthCollege\KaRa\DartmouthCollege-KaRa-Neg-Owen-L-Coon-Memorial-Debates-at-Northwestern-Round-6.docx,0,True,True,1,Parse complete. | Doc: DartmouthCollege-KaRa-Neg-Owen-L-Coon-Memorial-Debates-at-Northwestern-Round-6.docx | Positions detected: 10 | Cards detected: 10 | Cards with highlighted/underlined read proxy: 10 | ,
77,DartmouthCollege\KaRa\DartmouthCollege-KaRa-Neg-Owen-L-Coon-Memorial-Debates-at-Northwestern-Round-8.docx,0,True,True,1,Parse complete. | Doc: DartmouthCollege-KaRa-Neg-Owen-L-Coon-Memorial-Debates-at-Northwestern-Round-8.docx | Positions detected: 6 | Cards detected: 2 | Cards with highlighted/underlined read proxy: 2 | ,
78,DartmouthCollege\PaHa\DartmouthCollege-PaHa-Aff-01----northwestern-Round-2.docx,0,True,True,1,Parse complete. | Doc: DartmouthCollege-PaHa-Aff-01----northwestern-Round-2.docx | Positions detected: 2 | Cards detected: 3 | Cards with highlighted/underlined read proxy: 3 | ,
79,DartmouthCollege\PaHa\DartmouthCollege-PaHa-Aff-01----northwestern-Round-4.docx,0,True,True,1,Parse complete. | Doc: DartmouthCollege-PaHa-Aff-01----northwestern-Round-4.docx | Positions detected: 1 | Cards detected: 5 | Cards with highlighted/underlined read proxy: 5 | ,
80,DartmouthCollege\PaHa\DartmouthCollege-PaHa-Aff-01----northwestern-Round-5.docx,0,True,True,1,Parse complete. | Doc: DartmouthCollege-PaHa-Aff-01----northwestern-Round-5.docx | Positions detected: 2 | Cards detected: 2 | Cards with highlighted/underlined read proxy: 2 | ,
81,DartmouthCollege\PaHa\DartmouthCollege-PaHa-Aff-01----northwestern-Round-7.docx,0,True,True,1,Parse complete. | Doc: DartmouthCollege-PaHa-Aff-01----northwestern-Round-7.docx | Positions detected: 2 | Cards detected: 5 | Cards with highlighted/underlined read proxy: 5 | ,
